display  D   display_settings.c:191  debug_display_settings           [   0.89848] color: 32 (rgba 8888), depth: 24, stencil: 8, acc: 0000, samples: 1/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.89885] Score is : 1681
display  I           wgl_disp.c:768  get_available_pixel_formats_ext  [   0.89921] -- 
display  I           wgl_disp.c:769  get_available_pixel_formats_ext  [   0.89958] Decoding visual no. 10...
display  I           wgl_disp.c:340  decode_pixel_format_attrib       [   0.89998] Decoding:
display  I           wgl_disp.c:244  display_pixel_format             [   0.90033] Accelarated: yes
display  I           wgl_disp.c:245  display_pixel_format             [   0.90069] Single-buffer: yes
display  I           wgl_disp.c:249  display_pixel_format             [   0.90106] Swap method: undefined
display  I           wgl_disp.c:250  display_pixel_format             [   0.90143] Color format: r8 g8 b8 a8, 32 bit
display  I           wgl_disp.c:256  display_pixel_format             [   0.90179] Depth buffer: 24 bits
display  I           wgl_disp.c:257  display_pixel_format             [   0.90216] Sample buffers: yes
display  I           wgl_disp.c:258  display_pixel_format             [   0.90253] Samples: 2
display  D   display_settings.c:191  debug_display_settings           [   0.90290] color: 32 (rgba 8888), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.90327] Single Buffer requirement not met.
display  I           wgl_disp.c:768  get_available_pixel_formats_ext  [   0.90364] -- 
display  I           wgl_disp.c:769  get_available_pixel_formats_ext  [   0.90401] Decoding visual no. 11...
display  I           wgl_disp.c:340  decode_pixel_format_attrib       [   0.90440] Decoding:
display  I           wgl_disp.c:244  display_pixel_format             [   0.90476] Accelarated: yes
display  I           wgl_disp.c:245  display_pixel_format             [   0.90512] Single-buffer: no
display  I           wgl_disp.c:249  display_pixel_format             [   0.90548] Swap method: undefined
display  I           wgl_disp.c:250  display_pixel_format             [   0.90585] Color format: r8 g8 b8 a8, 32 bit
display  I           wgl_disp.c:256  display_pixel_format             [   0.90622] Depth buffer: 24 bits
display  I           wgl_disp.c:257  display_pixel_format             [   0.90660] Sample buffers: yes
display  I           wgl_disp.c:258  display_pixel_format             [   0.90699] Samples: 2
display  D   display_settings.c:191  debug_display_settings           [   0.90736] color: 32 (rgba 8888), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.90774] Score is : 1697
display  I           wgl_disp.c:768  get_available_pixel_formats_ext  [   0.90807] -- 
display  I           wgl_disp.c:769  get_available_pixel_formats_ext  [   0.90845] Decoding visual no. 12...
display  I           wgl_disp.c:340  decode_pixel_format_attrib       [   0.90885] Decoding:
display  I           wgl_disp.c:244  display_pixel_format             [   0.90919] Accelarated: yes
display  I           wgl_disp.c:245  display_pixel_format             [   0.90955] Single-buffer: no
display  I           wgl_disp.c:247  display_pixel_format             [   0.90992] Swap method: copy
display  I           wgl_disp.c:250  display_pixel_format             [   0.91029] Color format: r8 g8 b8 a8, 32 bit
display  I           wgl_disp.c:256  display_pixel_format             [   0.91066] Depth buffer: 24 bits
display  I           wgl_disp.c:257  display_pixel_format             [   0.91103] Sample buffers: yes
display  I           wgl_disp.c:258  display_pixel_format             [   0.91140] Samples: 2
display  D   display_settings.c:191  debug_display_settings           [   0.91178] color: 32 (rgba 8888), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:506  _al_score_display_settings       [   0.91215] Score is : 1697
display  I           wgl_disp.c:768  get_available_pixel_formats_ext  [   0.91252] -- 
display  I           wgl_disp.c:769  get_available_pixel_formats_ext  [   0.91287] Decoding visual no. 13...
